NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
GAB,Gabon,0.7,0.002,0,,,2015,0.309667386,-0.025097825,-0.497270446,-0.028946363,39.4003833,-0.350047912,0.227717672,0.194151604,-0.64708868,0.0081157,-0.931513407,-0.034282562
GMB,"Gambia, The",0.46175,0.0037,0,,,2015,-0.058859166,-0.042212894,-0.58525335,-0.039303224,39.38577276,-1.743363621,-1.041299264,-0.211285584,-0.645825021,-0.045382403,-1.218437616,0.0294705
GEO,Georgia,0.78275,0.0033,0,,,2015,-0.458449022,0.115971986,0.063718887,0.108153287,38.26,-0.76,-0.747622802,-0.180105583,0.365782166,0.155767952,0.037213814,0.07121726
DEU,Germany,0.938,0.001,0,,,2015,0.843379003,-0.003241956,1.685862076,0.043347203,32.315,0.265,0.053848876,-0.480899355,1.753316144,-0.003662833,1.407800421,0.015827998
GHA,Ghana,0.5925,0.0032,0,,,2015,0.062735708,-0.02544019,0.023623229,0.028788188,42.6203277,0.167005629,-0.560813065,-0.153969429,-0.077742901,-0.024783969,0.490618206,0.055729515
GRC,Greece,0.87025,0.0019,0,,,2015,-0.127069417,0.010068562,0.439441252,-0.019879963,35.78,0.2,-0.574672897,-0.089300235,-0.211587505,-0.02007819,0.6778776,-0.030795788
GRD,Grenada,0.7615,0.0012,0,,,2015,0.472123225,0.027392148,0.059173414,-0.054798987,32.39895449,-0.84008364,-0.731982932,0.011579759,0.36671222,-0.038947322,0.851965176,0.031509768
GTM,Guatemala,0.64975,0.0011,0,,,2015,-0.687752647,0.016221892,-1.061986539,0.01139473,50.85387574,1.87884495,1.177235774,0.4325429,-0.575352069,-0.017251607,-0.369074023,0.001369208
GIN,Guinea,0.46275,0.0033,0,,,2015,-1.286184026,-0.008455188,-1.431722718,0.00833841,34.51918025,-0.052174912,-1.123043154,-0.101951552,-1.112356585,-0.028598063,-0.999332085,-0.004283115
GNB,Guinea-Bissau,0.45975,0.0013,0,,,2015,-0.746148669,0.085943199,-1.406917052,0.037052031,42.31533878,-0.033605897,-0.254151989,0.245253294,-1.27281692,-0.066496539,-1.154467745,0.024632649
