country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CIV,-1.128338094,-1.122742119,-1.117146145,-1.111550171,-1.105954197,-1.100358223,-1.094762249,-1.089166275,-1.083570301,-1.077974326,-1.072378352,-1.066782378,-1.061186404,-1.05559043,-1.049994456,-1.044398482,-1.038802508,-1.033206533,-1.027610559,-1.022014585,-1.016418611,-1.010822637,-1.005226663,-0.999630689,-0.994034715,-0.98843874,-0.982842766,-0.977246792,-0.971650818,-0.966054844,-0.96045887,-0.954862896,-0.975322959,-1.002932413,-0.928049777,-0.90849654,-0.962713699,-0.923525809,-0.869171709,-0.86859309,-0.89620252,-0.903918079,-0.834757437,-0.78983379,-0.887591349,-0.951242341,-0.949074995,-0.86532731
CMR,-1.323529524,-1.315842753,-1.308155983,-1.300469212,-1.292782441,-1.285095671,-1.2774089,-1.26972213,-1.262035359,-1.254348589,-1.246661818,-1.238975048,-1.231288277,-1.223601507,-1.215914736,-1.208227965,-1.200541195,-1.192854424,-1.185167654,-1.177480883,-1.169794113,-1.162107342,-1.154420572,-1.146733801,-1.121932728,-1.296930094,-1.471449325,-1.341735247,-1.187471468,-1.17177136,-1.004514063,-1.077103122,-0.930246305,-0.864786655,-0.834844532,-0.764544624,-0.819893535,-0.875702263,-0.869171709,-0.763844681,-1.152721069,-1.055817744,-1.089274598,-1.040048312,-1.146731299,-1.161784759,-1.211009216,-0.962251308
COD,-0.424341773,-0.440008148,-0.455674523,-0.471340897,-0.487007272,-0.502673646,-0.518340021,-0.534006395,-0.54967277,-0.565339145,-0.581005519,-0.596671894,-0.612338268,-0.628004643,-0.643671017,-0.659337392,-0.675003766,-0.690670141,-0.706336516,-0.72200289,-0.737669265,-0.753335639,-0.769002014,-0.784668388,-0.800334763,-0.816001137,-0.831667512,-0.847333887,-0.863000261,-0.878666636,-0.89433301,-0.909999385,-0.975322959,-0.910835241,-0.9746524,-1.004464485,-1.105533863,-1.0191729,-0.965326193,-0.970510732,-0.89620252,-1.055817744,-1.038371166,-0.990005407,-1.198559289,-1.161784759,-1.263396061,-1.160661378
COG,-2.633294479,-2.582038236,-2.530781992,-2.479525749,-2.428269505,-2.377013261,-2.325757018,-2.274500774,-2.22324453,-2.171988287,-2.120732043,-2.0694758,-2.018219556,-1.966963312,-1.915707069,-1.864450825,-1.813194582,-1.761938338,-1.710682094,-1.659425851,-1.608169607,-1.556913363,-1.50565712,-1.454400876,-1.403144633,-1.351888389,-1.300632145,-1.249375902,-1.198119658,-1.146863415,-1.095607171,-0.901550389,-0.840092995,-0.818738069,-0.881447154,-0.90849654,-1.010320421,-1.0191729,-0.917248951,-0.906633965,-0.383165422,-0.346952643,-0.325723117,-0.289404748,-0.317483459,-0.319615087,-0.372819708,-0.224251029
COL,-0.788727052,-0.782965851,-0.777204651,-0.77144345,-0.765682249,-0.759921048,-0.754159847,-0.748398647,-0.742637446,-0.736876245,-0.731115044,-0.725353843,-0.719592643,-0.713831442,-0.708070241,-0.70230904,-0.696547839,-0.690786639,-0.685025438,-0.679264237,-0.673503036,-0.667741835,-0.661980635,-0.987344235,-1.01709533,-1.387361187,-1.138101542,-0.745701075,-0.68244937,-0.415187222,-0.412687861,-0.243227641,-0.163943175,-0.035912105,-0.089202566,-0.092769013,-0.105792714,-0.158349074,-0.244167565,-0.287212412,-0.7935951,-0.752018415,-0.885660869,-0.839876695,-0.991247329,-0.845971132,-0.844301307,-0.517950614
COM,-7.13431114,-6.955738565,-6.777165991,-6.598593416,-6.420020841,-6.241448267,-6.062875692,-5.884303117,-5.705730543,-5.527157968,-5.348585393,-5.170012818,-4.991440244,-4.812867669,-4.634295094,-4.45572252,-4.277149945,-4.09857737,-3.920004796,-3.741432221,-3.562859646,-3.384287071,-3.205714497,-3.027141922,-2.848569347,-2.669996773,-2.491424198,-2.312851623,-2.134279049,-1.955706474,-1.777133899,-1.598561324,-1.41998875,-1.241416175,-1.0628436,-0.668576679,-0.724680092,-0.827878717,-0.917248951,-0.783754945,0.848123615,0.76697823,0.692345524,0.611367529,0.822732322,0.627825794,0.727304021,1.258599871
CPV,-0.432625757,-0.407164995,-0.381704234,-0.356243472,-0.330782711,-0.30532195,-0.279861188,-0.254400427,-0.228939665,-0.203478904,-0.178018142,-0.152557381,-0.127096619,-0.101635858,-0.076175096,-0.050714335,-0.025253574,0.000207188,0.025667949,0.051128711,0.076589472,0.102050234,0.127510995,0.152971757,0.178432518,0.20389328,0.229354041,0.254814803,0.280275564,0.305736325,0.331197087,0.356657848,0.38211861,0.407579371,0.433040133,0.435054681,0.513094664,0.511180568,0.525068304,0.70871684,0.540301356,0.513812123,0.539635227,0.611367529,0.770904332,0.838368212,0.674917177,0.764030032
CRI,0.080512681,0.084944239,0.089375796,0.093807354,0.098238911,0.102670469,0.107102026,0.111533583,0.115965141,0.120396698,0.124828256,0.129259813,0.13369137,0.138122928,0.142554485,0.146986043,0.1514176,0.155849158,0.160280715,0.164712272,0.16914383,0.173575387,0.178006945,0.182438502,0.186870059,0.329373519,0.278626535,0.190924054,0.243424477,-0.120960057,-0.03222816,0.020101458,0.331900026,0.056185067,0.004002679,0.483038653,0.513094664,0.60682766,0.621222788,0.360528304,0.232479097,0.159379572,0.132407771,0.211024295,0.200796441,0.206740958,0.203435579,0.28879588
CUB,-2.742012936,-2.660854182,-2.579695427,-2.498536673,-2.417377918,-2.336219164,-2.255060409,-2.173901655,-2.0927429,-2.011584146,-1.930425392,-1.849266637,-1.768107883,-1.686949128,-1.605790374,-1.524631619,-1.443472865,-1.362314111,-1.281155356,-1.199996602,-1.118837847,-1.037679093,-0.956520338,-0.875361584,-0.794202829,-0.713044075,-0.631885321,-0.550726566,-0.469567812,-0.388409057,-0.307250303,0.151766008,-0.20901983,-0.128009277,-0.275613058,0.099166876,0.132240893,0.176415747,-0.148013082,0.05657516,1.155945874,1.020144338,0.997766116,0.911624955,0.615420362,0.733097003,0.83207771,1.072448523
CYP,1.193468568,1.181534512,1.169600455,1.157666399,1.145732342,1.133798286,1.121864229,1.109930173,1.097996116,1.08606206,1.074128003,1.062193947,1.05025989,1.038325834,1.026391777,1.014457721,1.002523665,0.990589608,0.978655552,0.966721495,0.954787439,0.942853382,0.930919326,0.918985269,0.907051213,0.895117156,0.8831831,0.871249043,0.859314987,0.84738093,0.835446874,0.810088755,0.557283299,0.746913859,0.703042022,0.62699057,1.131982042,1.228533757,1.101995206,1.063929568,0.283782806,0.260646015,0.386924931,0.661410434,0.615420362,0.733097003,0.83207771,0.632567914
